network,feedback,correlation,outage_size,outage,normal,common,count,cer,runtime_seconds,swaps,quota_verified,lower_bound,solver_residual
0,0.0,0.0,1,0,0.138674574619976,0.1448498592660079,0.14241915107361713,0.14069462457787124,0.0002204999909736216,5,True,,
0,0.0,0.3,1,0,0.22987054671511928,0.23419324596734165,0.2324917502326681,0.23128458168564608,0.0002204999909736216,5,True,,
0,0.0,0.8,1,0,0.38186383354035847,0.383098890469565,0.38261274883108654,0.38226784353193727,0.0002204999909736216,5,True,,
0,0.0,0.0,1,1,0.138674574619976,0.1448498592660079,0.14392480171781574,0.1423435854820974,0.00013104200479574502,5,True,,
0,0.0,0.3,1,1,0.22987054671511928,0.23419324596734165,0.23354570568360722,0.23243885431860425,0.00013104200479574502,5,True,,
0,0.0,0.8,1,1,0.38186383354035847,0.383098890469565,0.3829138789599265,0.3825976357127826,0.00013104200479574502,5,True,,
0,0.0,0.0,1,2,0.138674574619976,0.14404398215264022,0.14561780245000577,0.1418342893161035,0.0001024999946821481,5,True,,
0,0.0,0.3,1,2,0.22987054671511928,0.23362913198798424,0.2347308061961401,0.23208234700240854,0.0001024999946821481,5,True,,
0,0.0,0.8,1,2,0.38186383354035847,0.3829377150468911,0.38325247910636434,0.38249577647958394,0.0001024999946821481,5,True,,
0,0.0,0.0,1,3,0.138674574619976,0.1627102516687844,0.15951044584299018,0.14071468831986078,9.566600783728063e-05,5,True,,
0,0.0,0.3,1,3,0.22987054671511928,0.2466955206492852,0.24445565657122928,0.23129862630503864,9.566600783728063e-05,5,True,,
0,0.0,0.8,1,3,0.38186383354035847,0.3866709689501201,0.3860310077849611,0.3822718562803352,9.566600783728063e-05,5,True,,
0,0.0,0.0,1,4,0.138674574619976,0.17492424036653265,0.17325232573310012,0.15105069264428336,9.745900752022862e-05,5,True,,
0,0.0,0.3,1,4,0.22987054671511928,0.2552453127377091,0.2540749724943063,0.2385338293321346,9.745900752022862e-05,5,True,,
0,0.0,0.8,1,4,0.38186383354035847,0.3891137666896695,0.388779383762983,0.3843390571452201,9.745900752022862e-05,5,True,,
0,0.0,0.0,1,5,0.138674574619976,0.15151427823726712,0.15225318171711913,0.14195620158042754,9.31659888010472e-05,5,True,,
0,0.0,0.3,1,5,0.22987054671511928,0.23885833924722322,0.23937557168311974,0.2321676855874354,9.31659888010472e-05,5,True,,
0,0.0,0.8,1,5,0.38186383354035847,0.3844317742638168,0.38457955495978674,0.38252015893244873,9.31659888010472e-05,5,True,,
0,0.0,0.0,2,"0,1",0.138674574619976,0.15697090675372966,0.17624006160094105,0.14929846035255434,0.000164708006195724,8,True,,
0,0.0,0.3,2,"0,1",0.22987054671511928,0.24267797920874698,0.2561663876017948,0.23730726672792418,0.000164708006195724,8,True,,
0,0.0,0.8,2,"0,1",0.38186383354035847,0.38552309996710915,0.3893769309365515,0.38398861068687395,0.000164708006195724,8,True,,
0,0.0,0.0,2,"0,2",0.138674574619976,0.15697090675372966,0.18119261314901433,0.15017268640443657,0.00012700000661425292,6,True,,
0,0.0,0.3,2,"0,2",0.22987054671511928,0.24267797920874698,0.2596331736854463,0.23791922496424187,0.00012700000661425292,6,True,,
0,0.0,0.8,2,"0,2",0.38186383354035847,0.38552309996710915,0.39036744124616585,0.38416345589725037,0.00012700000661425292,6,True,,
0,0.0,0.0,2,"0,3",0.138674574619976,0.17874859108069865,0.16287728889865388,0.1497242395190035,0.00021545798517763615,12,True,,
0,0.0,0.3,2,"0,3",0.22987054671511928,0.2579223582376254,0.2468124467101938,0.23760531214443859,0.00021545798517763615,12,True,,
0,0.0,0.8,2,"0,3",0.38186383354035847,0.38987863683250296,0.3867043763960937,0.384073766520164,0.00021545798517763615,12,True,,
0,0.0,0.0,2,"0,4",0.138674574619976,0.21243424680525594,0.18088807449753178,0.15759166206155495,0.00012495799455791712,6,True,,
0,0.0,0.3,2,"0,4",0.22987054671511928,0.28150231724481556,0.25941999662940846,0.2431125079242246,0.00012495799455791712,6,True,,
0,0.0,0.8,2,"0,4",0.38186383354035847,0.3966157679774145,0.39030653351586947,0.38564725102867403,0.00012495799455791712,6,True,,
0,0.0,0.0,2,"0,5",0.138674574619976,0.1635359433379036,0.16041372419831015,0.14936780268477073,0.00012416698154993355,6,True,,
